content,score,at,case_folding,cleaning,tokenization,stopword_removal,stemming,clean_review,sentiment
anak keponakan nonton aman tidak nyasar ke 18+,5,2026-06-19 13:15:57,anak keponakan nonton aman tidak nyasar ke 18+,anak keponakan nonton aman tidak nyasar ke,"['anak', 'keponakan', 'nonton', 'aman', 'tidak', 'nyasar', 'ke']","['anak', 'keponakan', 'nonton', 'aman', 'nyasar']","['anak', 'keponakan', 'nonton', 'aman', 'nyasar']",anak keponakan nonton aman nyasar,Netral
siap menjelajah dengan film2 terbaru,5,2026-06-19 12:22:30,siap menjelajah dengan film2 terbaru,siap menjelajah dengan film terbaru,"['siap', 'menjelajah', 'dengan', 'film', 'terbaru']","['menjelajah', 'film', 'terbaru']","['jelajah', 'film', 'baru']",jelajah film baru,Netral
"aplikasi benalu udah dibatalkan keanggotaannya,dah dihapus aplikasi nya tapi masih tetap motong pembayaran, aplikasi engga waras, parasit",1,2026-06-19 11:18:05,"aplikasi benalu udah dibatalkan keanggotaannya,dah dihapus aplikasi nya tapi masih tetap motong pembayaran, aplikasi engga waras, parasit",aplikasi benalu udah dibatalkan keanggotaannyadah dihapus aplikasi nya tapi masih tetap motong pembayaran aplikasi engga waras parasit,"['aplikasi', 'benalu', 'udah', 'dibatalkan', 'keanggotaannyadah', 'dihapus', 'aplikasi', 'nya', 'tapi', 'masih', 'tetap', 'motong', 'pembayaran', 'aplikasi', 'engga', 'waras', 'parasit']","['aplikasi', 'benalu', 'udah', 'dibatalkan', 'keanggotaannyadah', 'dihapus', 'aplikasi', 'nya', 'motong', 'pembayaran', 'aplikasi', 'engga', 'waras', 'parasit']","['aplikasi', 'benalu', 'udah', 'batal', 'keanggotaannyadah', 'hapus', 'aplikasi', 'nya', 'motong', 'bayar', 'aplikasi', 'engga', 'waras', 'parasit']",aplikasi benalu udah batal keanggotaannyadah hapus aplikasi nya motong bayar aplikasi engga waras parasit,Netral
tiba-tiba Netflix error saat ingin menonton film dengan layar hitam dan loading yang terus menerus padahal saat untuk nonton video dari aplikasi lain lancar-lancar saja. tolong berikanlah jawabannya!,3,2026-06-19 11:13:33,tiba-tiba netflix error saat ingin menonton film dengan layar hitam dan loading yang terus menerus padahal saat untuk nonton video dari aplikasi lain lancar-lancar saja. tolong berikanlah jawabannya!,tibatiba netflix error saat ingin menonton film dengan layar hitam dan loading yang terus menerus padahal saat untuk nonton video dari aplikasi lain lancarlancar saja tolong berikanlah jawabannya,"['tibatiba', 'netflix', 'error', 'saat', 'ingin', 'menonton', 'film', 'dengan', 'layar', 'hitam', 'dan', 'loading', 'yang', 'terus', 'menerus', 'padahal', 'saat', 'untuk', 'nonton', 'video', 'dari', 'aplikasi', 'lain', 'lancarlancar', 'saja', 'tolong', 'berikanlah', 'jawabannya']","['tibatiba', 'netflix', 'error', 'menonton', 'film', 'layar', 'hitam', 'loading', 'menerus', 'nonton', 'video', 'aplikasi', 'lancarlancar', 'tolong', 'berikanlah', 'jawabannya']","['tibatiba', 'netflix', 'error', 'tonton', 'film', 'layar', 'hitam', 'loading', 'terus', 'nonton', 'video', 'aplikasi', 'lancarlancar', 'tolong', 'beri', 'jawab']",tibatiba netflix error tonton film layar hitam loading terus nonton video aplikasi lancarlancar tolong beri jawab,Netral
"mau ganti nomor aja susah di aplikasi ini, sudah ikutin cara cara ya sesuai kunjungi pusat bantuan tetep aja error, Sepertinya terjadi masalah Maaf, kami mengalami masalah saat memproses permintaanmu. Tunggu, lalu coba lagi. bukan di HP di smart TV juga sama....",1,2026-06-19 08:37:22,"mau ganti nomor aja susah di aplikasi ini, sudah ikutin cara cara ya sesuai kunjungi pusat bantuan tetep aja error, sepertinya terjadi masalah maaf, kami mengalami masalah saat memproses permintaanmu. tunggu, lalu coba lagi. bukan di hp di smart tv juga sama....",mau ganti nomor aja susah di aplikasi ini sudah ikutin cara cara ya sesuai kunjungi pusat bantuan tetep aja error sepertinya terjadi masalah maaf kami mengalami masalah saat memproses permintaanmu tunggu lalu coba lagi bukan di hp di smart tv juga sama,"['mau', 'ganti', 'nomor', 'aja', 'susah', 'di', 'aplikasi', 'ini', 'sudah', 'ikutin', 'cara', 'cara', 'ya', 'sesuai', 'kunjungi', 'pusat', 'bantuan', 'tetep', 'aja', 'error', 'sepertinya', 'terjadi', 'masalah', 'maaf', 'kami', 'mengalami', 'masalah', 'saat', 'memproses', 'permintaanmu', 'tunggu', 'lalu', 'coba', 'lagi', 'bukan', 'di', 'hp', 'di', 'smart', 'tv', 'juga', 'sama']","['ganti', 'nomor', 'aja', 'susah', 'aplikasi', 'ikutin', 'ya', 'sesuai', 'kunjungi', 'pusat', 'bantuan', 'tetep', 'aja', 'error', 'maaf', 'mengalami', 'memproses', 'permintaanmu', 'tunggu', 'coba', 'hp', 'smart', 'tv']","['ganti', 'nomor', 'aja', 'susah', 'aplikasi', 'ikutin', 'ya', 'sesuai', 'kunjung', 'pusat', 'bantu', 'tetep', 'aja', 'error', 'maaf', 'alami', 'proses', 'minta', 'tunggu', 'coba', 'hp', 'smart', 'tv']",ganti nomor aja susah aplikasi ikutin ya sesuai kunjung pusat bantu tetep aja error maaf alami proses minta tunggu coba hp smart tv,Positif
Optimalkan dan tingkatkan stabilitas performa nya.. Trimakasih 🙂🙏🏻,5,2026-06-19 03:25:18,optimalkan dan tingkatkan stabilitas performa nya.. trimakasih 🙂🙏🏻,optimalkan dan tingkatkan stabilitas performa nya trimakasih,"['optimalkan', 'dan', 'tingkatkan', 'stabilitas', 'performa', 'nya', 'trimakasih']","['optimalkan', 'tingkatkan', 'stabilitas', 'performa', 'nya', 'trimakasih']","['optimal', 'tingkat', 'stabilitas', 'performa', 'nya', 'trimakasih']",optimal tingkat stabilitas performa nya trimakasih,Netral
"Seru tontonannya, bayar sebulan bisa menikmati film film berkualitas",5,2026-06-18 22:56:10,"seru tontonannya, bayar sebulan bisa menikmati film film berkualitas",seru tontonannya bayar sebulan bisa menikmati film film berkualitas,"['seru', 'tontonannya', 'bayar', 'sebulan', 'bisa', 'menikmati', 'film', 'film', 'berkualitas']","['seru', 'tontonannya', 'bayar', 'sebulan', 'menikmati', 'film', 'film', 'berkualitas']","['seru', 'tonton', 'bayar', 'bulan', 'nikmat', 'film', 'film', 'kualitas']",seru tonton bayar bulan nikmat film film kualitas,Netral
"woy lah udah bayar mahal' malah ga bisa di buka, bencii",1,2026-06-18 20:42:06,"woy lah udah bayar mahal' malah ga bisa di buka, bencii",woy lah udah bayar mahal malah ga bisa di buka bencii,"['woy', 'lah', 'udah', 'bayar', 'mahal', 'malah', 'ga', 'bisa', 'di', 'buka', 'bencii']","['woy', 'udah', 'bayar', 'mahal', 'ga', 'buka', 'bencii']","['woy', 'udah', 'bayar', 'mahal', 'ga', 'buka', 'benci']",woy udah bayar mahal ga buka benci,Netral
jelek bayar 65k cuma buat 3 hari habis tu error ga rekomen pokony,1,2026-06-18 19:12:06,jelek bayar 65k cuma buat 3 hari habis tu error ga rekomen pokony,jelek bayar k cuma buat hari habis tu error ga rekomen pokony,"['jelek', 'bayar', 'k', 'cuma', 'buat', 'hari', 'habis', 'tu', 'error', 'ga', 'rekomen', 'pokony']","['jelek', 'bayar', 'k', 'habis', 'tu', 'error', 'ga', 'rekomen', 'pokony']","['jelek', 'bayar', 'k', 'habis', 'tu', 'error', 'ga', 'rekomen', 'pokony']",jelek bayar k habis tu error ga rekomen pokony,Netral
bikin akunya susah,1,2026-06-18 15:53:56,bikin akunya susah,bikin akunya susah,"['bikin', 'akunya', 'susah']","['bikin', 'akunya', 'susah']","['bikin', 'aku', 'susah']",bikin aku susah,Netral
Very bad To in there,1,2026-06-18 14:36:18,very bad to in there,very bad to in there,"['very', 'bad', 'to', 'in', 'there']","['very', 'bad', 'to', 'in', 'there']","['very', 'bad', 'to', 'in', 'there']",very bad to in there,Negatif
loginnya lumayan susah dan ribet,3,2026-06-18 13:23:44,loginnya lumayan susah dan ribet,loginnya lumayan susah dan ribet,"['loginnya', 'lumayan', 'susah', 'dan', 'ribet']","['loginnya', 'lumayan', 'susah', 'ribet']","['loginnya', 'lumayan', 'susah', 'ribet']",loginnya lumayan susah ribet,Netral
awesome app,5,2026-06-18 13:11:36,awesome app,awesome app,"['awesome', 'app']","['awesome', 'app']","['awesome', 'app']",awesome app,Positif
Super goood,5,2026-06-18 12:31:05,super goood,super goood,"['super', 'goood']","['super', 'goood']","['super', 'goood']",super goood,Positif
buruk baru tgl 7 berlangganan 65rb tgl 18 sudah ada lg tagihan dgn biaya 165rb ini sangat tidak masuk akal,1,2026-06-18 11:37:51,buruk baru tgl 7 berlangganan 65rb tgl 18 sudah ada lg tagihan dgn biaya 165rb ini sangat tidak masuk akal,buruk baru tgl berlangganan rb tgl sudah ada lg tagihan dgn biaya rb ini sangat tidak masuk akal,"['buruk', 'baru', 'tgl', 'berlangganan', 'rb', 'tgl', 'sudah', 'ada', 'lg', 'tagihan', 'dgn', 'biaya', 'rb', 'ini', 'sangat', 'tidak', 'masuk', 'akal']","['buruk', 'tgl', 'berlangganan', 'rb', 'tgl', 'lg', 'tagihan', 'dgn', 'biaya', 'rb', 'masuk', 'akal']","['buruk', 'tgl', 'langgan', 'rb', 'tgl', 'lg', 'tagih', 'dgn', 'biaya', 'rb', 'masuk', 'akal']",buruk tgl langgan rb tgl lg tagih dgn biaya rb masuk akal,Netral
"Aplikasi gak guna, berlangganan sebulan 54.000 hal kepake, bulan depan ada tagihan ke Shopee pay, jadi harus bayar diawal. pas mau memutuskan pembayaran otomatis gak bisa, yaudah, gia hapus akun baru bisa. gak ikhlas klo dipotong tiap bulan tp gak dipakai. aplikasi lain ada yg gratis bye bye aja dah aplikasi mahal",1,2026-06-18 07:02:56,"aplikasi gak guna, berlangganan sebulan 54.000 hal kepake, bulan depan ada tagihan ke shopee pay, jadi harus bayar diawal. pas mau memutuskan pembayaran otomatis gak bisa, yaudah, gia hapus akun baru bisa. gak ikhlas klo dipotong tiap bulan tp gak dipakai. aplikasi lain ada yg gratis bye bye aja dah aplikasi mahal",aplikasi gak guna berlangganan sebulan hal kepake bulan depan ada tagihan ke shopee pay jadi harus bayar diawal pas mau memutuskan pembayaran otomatis gak bisa yaudah gia hapus akun baru bisa gak ikhlas klo dipotong tiap bulan tp gak dipakai aplikasi lain ada yg gratis bye bye aja dah aplikasi mahal,"['aplikasi', 'gak', 'guna', 'berlangganan', 'sebulan', 'hal', 'kepake', 'bulan', 'depan', 'ada', 'tagihan', 'ke', 'shopee', 'pay', 'jadi', 'harus', 'bayar', 'diawal', 'pas', 'mau', 'memutuskan', 'pembayaran', 'otomatis', 'gak', 'bisa', 'yaudah', 'gia', 'hapus', 'akun', 'baru', 'bisa', 'gak', 'ikhlas', 'klo', 'dipotong', 'tiap', 'bulan', 'tp', 'gak', 'dipakai', 'aplikasi', 'lain', 'ada', 'yg', 'gratis', 'bye', 'bye', 'aja', 'dah', 'aplikasi', 'mahal']","['aplikasi', 'gak', 'berlangganan', 'sebulan', 'kepake', 'tagihan', 'shopee', 'pay', 'bayar', 'diawal', 'pas', 'memutuskan', 'pembayaran', 'otomatis', 'gak', 'yaudah', 'gia', 'hapus', 'akun', 'gak', 'ikhlas', 'klo', 'dipotong', 'tp', 'gak', 'dipakai', 'aplikasi', 'yg', 'gratis', 'bye', 'bye', 'aja', 'dah', 'aplikasi', 'mahal']","['aplikasi', 'gak', 'langgan', 'bulan', 'kepake', 'tagih', 'shopee', 'pay', 'bayar', 'awal', 'pas', 'putus', 'bayar', 'otomatis', 'gak', 'yaudah', 'gia', 'hapus', 'akun', 'gak', 'ikhlas', 'klo', 'potong', 'tp', 'gak', 'pakai', 'aplikasi', 'yg', 'gratis', 'bye', 'bye', 'aja', 'dah', 'aplikasi', 'mahal']",aplikasi gak langgan bulan kepake tagih shopee pay bayar awal pas putus bayar otomatis gak yaudah gia hapus akun gak ikhlas klo potong tp gak pakai aplikasi yg gratis bye bye aja dah aplikasi mahal,Netral
aplikasi nya bagus sih. cuma tolong banyakin series anime dong. tapi buat kalian yang suka anime bisa nonton di Netflix. tapi sayang nya anime nya terbatas. cuma palingan aku agak kesel sama kartun KPop Demon Hunters. karena kartun nya menurut ku alay. itulah kenapa aku kasih bintang 4.,4,2026-06-18 05:32:29,aplikasi nya bagus sih. cuma tolong banyakin series anime dong. tapi buat kalian yang suka anime bisa nonton di netflix. tapi sayang nya anime nya terbatas. cuma palingan aku agak kesel sama kartun kpop demon hunters. karena kartun nya menurut ku alay. itulah kenapa aku kasih bintang 4.,aplikasi nya bagus sih cuma tolong banyakin series anime dong tapi buat kalian yang suka anime bisa nonton di netflix tapi sayang nya anime nya terbatas cuma palingan aku agak kesel sama kartun kpop demon hunters karena kartun nya menurut ku alay itulah kenapa aku kasih bintang,"['aplikasi', 'nya', 'bagus', 'sih', 'cuma', 'tolong', 'banyakin', 'series', 'anime', 'dong', 'tapi', 'buat', 'kalian', 'yang', 'suka', 'anime', 'bisa', 'nonton', 'di', 'netflix', 'tapi', 'sayang', 'nya', 'anime', 'nya', 'terbatas', 'cuma', 'palingan', 'aku', 'agak', 'kesel', 'sama', 'kartun', 'kpop', 'demon', 'hunters', 'karena', 'kartun', 'nya', 'menurut', 'ku', 'alay', 'itulah', 'kenapa', 'aku', 'kasih', 'bintang']","['aplikasi', 'nya', 'bagus', 'sih', 'tolong', 'banyakin', 'series', 'anime', 'suka', 'anime', 'nonton', 'netflix', 'sayang', 'nya', 'anime', 'nya', 'terbatas', 'palingan', 'kesel', 'kartun', 'kpop', 'demon', 'hunters', 'kartun', 'nya', 'ku', 'alay', 'kasih', 'bintang']","['aplikasi', 'nya', 'bagus', 'sih', 'tolong', 'banyakin', 'series', 'anime', 'suka', 'anime', 'nonton', 'netflix', 'sayang', 'nya', 'anime', 'nya', 'batas', 'paling', 'kesel', 'kartun', 'kpop', 'demon', 'hunters', 'kartun', 'nya', 'ku', 'alay', 'kasih', 'bintang']",aplikasi nya bagus sih tolong banyakin series anime suka anime nonton netflix sayang nya anime nya batas paling kesel kartun kpop demon hunters kartun nya ku alay kasih bintang,Netral
👍👍👍👍👍,5,2026-06-17 23:47:27,👍👍👍👍👍,,[],[],[],,Netral
apl yg recommended,5,2026-06-17 23:31:54,apl yg recommended,apl yg recommended,"['apl', 'yg', 'recommended']","['apl', 'yg', 'recommended']","['apl', 'yg', 'recommended']",apl yg recommended,Netral
"jujur aja aku udh batalin keanggotaan sekitar seminggu ata 2 minggu sebelum nya, dan tiba""aku dapet notif dari gopay kalo aku masih di suruh bayar padahal udah aku batalin. KECEWA BERAT PLISS DUIT GUE SEKARANG TINGGAL DIKIT.. emang aku anak agak irit jadi kehilangan 54.000 itu lumayan banget🥲🥲 izin kasih rating jelek",2,2026-06-17 23:15:53,"jujur aja aku udh batalin keanggotaan sekitar seminggu ata 2 minggu sebelum nya, dan tiba""aku dapet notif dari gopay kalo aku masih di suruh bayar padahal udah aku batalin. kecewa berat pliss duit gue sekarang tinggal dikit.. emang aku anak agak irit jadi kehilangan 54.000 itu lumayan banget🥲🥲 izin kasih rating jelek",jujur aja aku udh batalin keanggotaan sekitar seminggu ata minggu sebelum nya dan tibaaku dapet notif dari gopay kalo aku masih di suruh bayar padahal udah aku batalin kecewa berat pliss duit gue sekarang tinggal dikit emang aku anak agak irit jadi kehilangan itu lumayan banget izin kasih rating jelek,"['jujur', 'aja', 'aku', 'udh', 'batalin', 'keanggotaan', 'sekitar', 'seminggu', 'ata', 'minggu', 'sebelum', 'nya', 'dan', 'tibaaku', 'dapet', 'notif', 'dari', 'gopay', 'kalo', 'aku', 'masih', 'di', 'suruh', 'bayar', 'padahal', 'udah', 'aku', 'batalin', 'kecewa', 'berat', 'pliss', 'duit', 'gue', 'sekarang', 'tinggal', 'dikit', 'emang', 'aku', 'anak', 'agak', 'irit', 'jadi', 'kehilangan', 'itu', 'lumayan', 'banget', 'izin', 'kasih', 'rating', 'jelek']","['jujur', 'aja', 'udh', 'batalin', 'keanggotaan', 'seminggu', 'ata', 'minggu', 'nya', 'tibaaku', 'dapet', 'notif', 'gopay', 'kalo', 'suruh', 'bayar', 'udah', 'batalin', 'kecewa', 'berat', 'pliss', 'duit', 'gue', 'tinggal', 'dikit', 'emang', 'anak', 'irit', 'kehilangan', 'lumayan', 'banget', 'izin', 'kasih', 'rating', 'jelek']","['jujur', 'aja', 'udh', 'batalin', 'anggota', 'minggu', 'ata', 'minggu', 'nya', 'tibaaku', 'dapet', 'notif', 'gopay', 'kalo', 'suruh', 'bayar', 'udah', 'batalin', 'kecewa', 'berat', 'pliss', 'duit', 'gue', 'tinggal', 'dikit', 'emang', 'anak', 'irit', 'hilang', 'lumayan', 'banget', 'izin', 'kasih', 'rating', 'jelek']",jujur aja udh batalin anggota minggu ata minggu nya tibaaku dapet notif gopay kalo suruh bayar udah batalin kecewa berat pliss duit gue tinggal dikit emang anak irit hilang lumayan banget izin kasih rating jelek,Netral
"kurg fitur ubah resolusi, setiap aku nonton film jadinya slalu jelek gambar nya",4,2026-06-17 23:10:08,"kurg fitur ubah resolusi, setiap aku nonton film jadinya slalu jelek gambar nya",kurg fitur ubah resolusi setiap aku nonton film jadinya slalu jelek gambar nya,"['kurg', 'fitur', 'ubah', 'resolusi', 'setiap', 'aku', 'nonton', 'film', 'jadinya', 'slalu', 'jelek', 'gambar', 'nya']","['kurg', 'fitur', 'ubah', 'resolusi', 'nonton', 'film', 'slalu', 'jelek', 'gambar', 'nya']","['kurg', 'fitur', 'ubah', 'resolusi', 'nonton', 'film', 'slalu', 'jelek', 'gambar', 'nya']",kurg fitur ubah resolusi nonton film slalu jelek gambar nya,Netral
Goodd,5,2026-06-17 23:01:47,goodd,goodd,['goodd'],['goodd'],['goodd'],goodd,Netral
keluar sendiri saat ganti email ! tidak bisa masuk lagi malah harus daftar ulang tapi sulit bgd masuk nya ada notif terjadi kesalahan terus !! tolong di perbaiki !!,1,2026-06-17 22:52:57,keluar sendiri saat ganti email ! tidak bisa masuk lagi malah harus daftar ulang tapi sulit bgd masuk nya ada notif terjadi kesalahan terus !! tolong di perbaiki !!,keluar sendiri saat ganti email tidak bisa masuk lagi malah harus daftar ulang tapi sulit bgd masuk nya ada notif terjadi kesalahan terus tolong di perbaiki,"['keluar', 'sendiri', 'saat', 'ganti', 'email', 'tidak', 'bisa', 'masuk', 'lagi', 'malah', 'harus', 'daftar', 'ulang', 'tapi', 'sulit', 'bgd', 'masuk', 'nya', 'ada', 'notif', 'terjadi', 'kesalahan', 'terus', 'tolong', 'di', 'perbaiki']","['ganti', 'email', 'masuk', 'daftar', 'ulang', 'sulit', 'bgd', 'masuk', 'nya', 'notif', 'kesalahan', 'tolong', 'perbaiki']","['ganti', 'email', 'masuk', 'daftar', 'ulang', 'sulit', 'bgd', 'masuk', 'nya', 'notif', 'salah', 'tolong', 'baik']",ganti email masuk daftar ulang sulit bgd masuk nya notif salah tolong baik,Netral
